Magic Square Analysis
Size: 11
Iterations	Total Time (s)	Average Time (s)
	10	0.00498113	0.000498113
	20	0.00792836	0.000396418
	30	0.0114903	0.00038301
	40	0.0148892	0.000372231
	50	0.0169356	0.000338713
	60	0.0218064	0.00036344
	70	0.0223925	0.000319893
	80	0.0318991	0.000398739
	90	0.0395861	0.000439846
	100	0.0364432	0.000364432
Size: 21
Iterations	Total Time (s)	Average Time (s)
	10	0.0114341	0.00114341
	20	0.0208837	0.00104419
	30	0.0312926	0.00104309
	40	0.0352113	0.000880283
	50	0.0501191	0.00100238
	60	0.054032	0.000900533
	70	0.0623799	0.000891141
	80	0.0760997	0.000951247
	90	0.0809969	0.000899965
	100	0.0830697	0.000830697
Size: 31
Iterations	Total Time (s)	Average Time (s)
	10	0.0180052	0.00180052
	20	0.0247381	0.00123691
	30	0.0343312	0.00114437
	40	0.0474799	0.001187
	50	0.0555402	0.0011108
	60	0.0855048	0.00142508
	70	0.116364	0.00166234
	80	0.136307	0.00170384
	90	0.11521	0.00128011
	100	0.119163	0.00119163
Size: 41
Iterations	Total Time (s)	Average Time (s)
	10	0.0166234	0.00166234
	20	0.0349114	0.00174557
	30	0.0513476	0.00171159
	40	0.0630576	0.00157644
	50	0.0817296	0.00163459
	60	0.0976562	0.0016276
	70	0.113431	0.00162044
	80	0.128697	0.00160871
	90	0.144493	0.00160548
	100	0.194812	0.00194812
Size: 51
Iterations	Total Time (s)	Average Time (s)
